NAZWA_1;NAZWA_2
Celakówny;Rozalii
Nad Rudawą;
Pobereżańska;
Pietnicka;
Kryłowska;
Podlipie;
Przyborowie;
Osiedle Grójec;
Astronautów;
Kocka;
Kolonia Kock;
Stępnia;Marcina
Zaszkolna;
Chropań;
Chrostek;Anny
Jakubowskiego;Zygmunta
Leśna Grobel;
Skotnica;
Zadworska;
Morgi;
Borowiec;
Magnolii;
Borkowa;
Nad Wąwozem;
Kalwaryjska;
Na Czekaj;
Pod Fortem;
Do Prochowni;
A1;
C4;
C6;
C13;
C15;
C25;
C27;
Wiarusa;
Trojanowicka;
Na Brzegu;
Zielone Jary;
Koszarska;
Łazarskiego;ks. Kazimierza
Marka;Józefa
Marsów;
Mordarska;
Zarębki;
Żuławskiego;
Kubali;Ludwika
Flizaka;Sebastiana
Podhalan;
Rakoczego;Franka
Zarabie;
Szarkowiec;
Toporczyków;
Marwin;
Skotnicka;
Oświecenia;
Sarni Stok;
Nad Rudawką;
Suski;
Kmity;
Wisznicka;
Dalekie I;
Dalekie II;
Folwark;
Gorajskiego;Adama
Nowakowskiego;Stanisława
Promyk;
Świdówka;
Wesołe Kąty;
Kijak;
Palestrancka;
Kałuży;im. mjr. Pilota Mieczysława
Więcławska;
Kółkowa;
Kwiatkowicka;
Łożyskowa;
Podleska;
Rzeczycka;
Suchyńska;
Zakrzowiecka;
Dworaka;Kazimierza Juliusza
Widerlika;Józefa
Świeciechowska;
Zachód;
Annoborska;
Firleja;Piotra
Adolfin;
Zerwisko;
Kosodrzewiny;
Orzycka;
Grabowiecka;
Dziekanowska;
Gródecka;
Morskie Oko;
Wojsławska;
Września;8
"Sowy ""Visa""";Wincentego
Polewana;
Rejowiecka;
Sońki;Królowej
Waręckich;
Budzyńska;
Surdackiego;Stanisława
Kuflowa;
Osterwy;Juliusza
Stelmaszczyka;Jana
Wójtowicza;
Nadjeziorna;
Chowańca;Bartłomieja
Radziwiłł;Marii
Borska;
Paszkowy Gaj;
Dąbrowy;
Bogumiła;
Gabrysiewicz;Teresy
Haliny;
Ignacego;
Luboszewska;
Odkrywkowa;
Pauliny;
Pod Grotami;
Śródmieście;
Ujezdzka;
Wacława;
Iłki;
Susika;Jana
Piła;
Wilcza Woda;
Zagumnie;
Konopki;
Tarło;Zygmunta
Ariańska;
Dworzysko;
Nawsie;
Pocieszka;
Tokarza;ks. Stanisława
Belna Dolna;
Binarowska;
Fuska;Witolda
Stopki;Andrzeja
Łęgowa;
Prochownia;
Na Skałkę;
Zastudnie;
Mądrzyka;ks. Mieczysława
Krótka I;
Laskowiec;
Michałki;
Nad Dłubnią;
Brzezinka;
Grzmiąca;
Korczynowa;
Płomienna;
Brzegi;
Skrzyszów;
Hallerów;
Radziszowska;
Chorzyny;
Zadworze Górne;
Koniecznego;ks. Stanisława
Medweckiego;kpt. Mieczysława
Werbownia;
A2;
A9;
B3;
C7;
C14;
C21;
A14;
Złote Piaski;
Gwizdałów;Józefa i Agaty
Na Ogrody;
Polubicka;
Zabaszta;
Kolejarzy;
Dyrki;Wawrzyńca
Lubaczowska;
Koziogórska;
Krasnystawska;
Grotthusów;
Lipice;
Czerwca;14
Przy Rowie;
Mędromierska;
Napoleońska;
Hejnałowa;
Stary Dworzec;
Kormoranowa;
Bielikowa;
Rozgard;
Ciborowskiego;
Krzyżowicka;
Magnicka;
Domianowicka;
Szyszkowa;
Przyłączna;
Siłaczki;
Radka;Andrzeja
Nikifora;
Bukowska;
Nadbobrze;
Nocznickiego;
Pluty;bp. Wilhelma
Żabikowska;
Nowosolska;
Lecha;
Jana Olbrachta;
Renklodowa;
Uśmiechu;
Wianki;
Zakosy;
Zimorodka;
Sobkowiaka;Andrzeja
Bawarczyków;
Tujakowskiego;Alojzego
Dandelskiego;Zdzisława
Arentowicza;Zdzisława
Kolibrowa;
Korabnicka;
Mikanowska;
Zatylna;
Pastownie;
Klitne;
Ciesielczuka;
Łany;
Syberia;
Jabłonkowa;
Kołowrót;
Zawieprze;
Sienickiego;Mikołaja
Gaj;
Kmiecka;
Pólka;
Staroplebańska;
Za Sołą;
Dogodna;
Suskiego;Józefa
Golcowiec;
Pod Dębem;
Wójtowiec;
Pomiarowych;
XX-lecia;
Kałki Górne;
Gospody;
Stablewskiego;abp.
Barytowa;
Rakutowska;
Rózinowska;
Ruda;
Smólska;
Sobolowa;
Zamcza;
Żelazne Wody;
Żurska;
Osada Rybnica;
Berezowska;
Eichlera;Karola Ferdynanda
Kodeńska;
Onufrego;św.
Bialska;
Bojarska;
Budzyń;
Wawrzynowa;
Węglinek;
Wiktoryn;
Wólczańska;
Zagrodna;
Żmigród;
Kleopatry;
Opolan;
Liszkowskiego;Bolesława
Drużynowa;
Górczyńska;
Gryfińska;
Karnińska;
Kirkora;Stanisława
Moryńska;
Nad Wartą;
Wełniany Rynek;
Żerańska;
Popławskiego;Jana Ludwika
Korcza;Jana
Gdańskie;
Słowiańskie;
Sjenitowa;
Ateny;
Chynowska;
Brukselska;
Dolomitowa;
Hawelańska;
Janockiego;Jana Daniela
Jutowa;
Kamieńska;
Londyńska;
Walczaka;Franciszka
Wał Śluzy;
Secesyjna;
Serwituty;
Tatarczana;
Turzycowa;
Uniejowska;
Uranowa;
Wersalska;
Zaklikowska;
Gojdana;Antoniego
Pradnik;
Urwańska;
Blizocka;
Czernichowska;
Jarnoty;
Pod Kopcem;
Puściny;
Pławianka;
Wykręt;
Grottgerówka;
Bernasia;Jana
Galenowa;
Kobylogórska;
Kurnatowskiego;Witolda
Lizbońska;
Lubienieckiego;Stanisława
Międzychodzka;
Obotrycka;
Policka;
Koniawska;
Korsaka;Włodzimierza
Lambora;Juliana
Madrycka;
Małorolnych;
Wał Okrężny;
Wał Poprzeczny;
Wawrowska;
Czechowica;Marcina
Dworkowa;
Ostrowiecka;
Mikulińska;
Trzydnicka;
Jarowa;
Poleśna;
Fregatowa;
Kierowa;
Kowalszczyzna;
Milionowa;
Niwelacyjna;
Ofiarna;
Poetycka;
Przewodnia;
Przyszkole;
Redowa;
Rozległa;
Rymanowska;
Trębacka;
Turbinowa;
Umińskiego;Władysława
Dubaniewicza;Henryka
Rocznicowa;
Bobowa;
Bronowa;
Fizylierów;
Gwiazdowa;
Pienista;
Spartańska;
Szeregowa;
Szlachetna;
Zakościelna;
Kurowska;
Ofiar Faszyzmu;
Pławska;
Roztoki;
Odnoga;
Rybitwy;
Majer;
Różany Potok;
Andrychowska;
Bukowiecka;
Gmeinera;Hermanna
Suchodolskiego;Eligiusza
Śliwiny;Wandy
Babicka;
Sołtysów;
Suchodębie;
Szumca;
Do Pomnika;
Łazowska;
Bagienko;
Paździory;
Pod Lipą;
Przedzieleń;
Lachetówka;
Cyklamenów;
Obrocznia;
Sośnina;
Grojecka;
Jarzębiny;
Besek;
Po Torach;
Nieszczyńskiej;Teresy
Lipińska;
Rynek I;
Choiny;
Baranowska;
Składowska;
Niwy;
Grabina;
Przerwa;
Szembeka;hr. Jakuba
Bieleckiego;
Morawina;
Kołodzieja;
Edukacyjna;
Rabatkowa;
Zieleni;
Pod Górką;
Przyrębska;
Hajdówka;
Zasypnica;
Semika;płk. Tadeusza
Starzeńskiego;Aleksandra
Poźnianka;
Zgierska;
Żółwiowa;
Żubardzka;
Marczyńskich;Kazimiery i Jana
Bittdorfa;Anastazego
Rżewskiego;Aleksego
Pasjonistów;
Bilardowa;
Choińska;
Czynna;
Deltowa;
Duetowa;
Dumna;
Dynowska;
Felsztyńskiego;Sebastiana
Heleny;
Hoffmanowej;Antoniny
Jachowicza;Stanisława
Kanclerska;
Ksawerowska;
Kwartalna;
Luźna;
Mierzejowa;
Nowe Sady;
Obszerna;
Opiekuńcza;
Paradna;
Plenerowa;
Pogorzel;
Posucha;
Profilowa;
Prośnieńska;
Retmańska;
Sanitariuszek;
Trójskok;
Warneńska;
Złotno;
Cylla;Wawrzyńca
Konarzewskiego;Tomasza
Lubeckiego;Franciszka Ksawerego
Lumumby;Patrice
Nawrot;
Sałacińskiego;Bronisława
Andrzejewskiej;Jadzi
Balsamowa;
Dziewiarska;
Jędrowizna;
Jurczyńskiego;Juliusza
Kierpcowa;
Kobzowa;
Krokiew;
Maltańska;
Obłoczna;
Pieniny;
Popielarnia;
Stylonowa;
Szeherezady;
Wiączyńska;
Widzewska;
Wodospadowa;
Zrębowa;
Palimąki;Leszka
Kuśnierska;
Paździorków;Braci
Chojeńska;
Łagodzińska;
Małyszyńska;
Minerów;
Niemirycza;Krzysztofa
Nowy Dwór;
Rzepińska;
Witnicka;
Źródłowa;
Afrodyty;
Boduena;
Dantyszka;
Żywokostowa;
Jeziorańczyków;
Nad Niemnem;
Sawickiego;Józefa
Normandzka;
Błońska;
Bolesława;
Chocianowicka;
Chóralna;
Dostawcza;
Falowa;
Faszynowa;
Halki;
Józefów;
Jubileuszowa;
Karola;
Kongresowa;
Świerszczyka;
Treflowa;
Ujście;
Wiskicka;
Zamorska;
Ziomkowa;
Burzliwa;
Drewnowska;
Elektronowa;
Korsarska;
Lemieszowa;
Minerska;
Musztrowa;
Oszczepowa;
Piechura;
Bugajska;
Potockich;
Dębowiec;
Pawłowskiego;bł. ks. Józefa
Dziechciarza;
Malejowska;
Smolikówka;
Zasypnicka;
Jazy;
Grunwaldu;
Bledzewska;
Dąbroszyńska;
Furmanka;Józefa
Goleniowska;
Kopczyńskiego;Onufrego
Ossolińskich;
Wał Długi;
Lazurytowa;
Myśliborskie;
Zielonogórskie;
Zaliwskiego;Józefa
Bzury;
Fogga;Mieczysława
Atutowa;
Beczkowa;
Bohomolca;Franciszka
Burtowa;
Czółenkowa;
Dodatnia;
Doroszewskiego;Witolda
Dzwonowa;
Dźwiękowa;
Eugeniusza;
Foremna;
Ideowa;
Janiny;
Jedwabnicza;
Kierunkowa;
Kotoniarska;
Leżakowa;
Nad Jasieniem;
Nad Nerem;
Olechowska;
Pikowa;
Policyjna;
Ponura;
Przystań;
Raduńska;
Rozewie;
Socjalna;
Najdałówka;
Dunajcowa;
Jezuitów;
Zgłobicka;
Konarska;
Szkotnik;
Wczesna;
Zagłębie;
Augustyniaka;Jana
Celownicza;
Florecistów;
Łucznicza;
Mieczników;
Nowy Józefów;
Perla;Feliksa
Pługowa;
Rokitny;
Solec;
Stefanowskiego;prof. Bohdana
Załogowa;
Żeligowskiego;gen. Lucjana
Dolinna;
Dowborczyków;
Pilarskiego;Józefa
Budy;
Czernika;Stanisława
Dostojewskiego;Fiodora
Juhasowa;
Lermontowa;Michała
Łukaszewska;
Mateusza;
Moskuliki;
Nalepińskiej;Marii
Niciarniana;
Nowosolna;
Popowskiego;Stanisława
Szwalma;Bronisława
Tatarkiewicza;Władysława
Zbiorcza;
Giemzowska;
Korczyńskiego;Andrzeja
Szklarskiego;Alfreda
Blocha;Jana Gottlieba
Gorce;
Czyżewskiego;gen. Ludwika
Kredytowa;
Niciana;
Oddzielna;
Piwnika;mjr. Jana
"Armii ""Kraków""";
Rapaczówka;
Błądzonka;
Kamienne;
Karaś;dr Zofii
Krzeszowiaków;
Makowska;
Rekolekcyjna;
Michalika;ks. Jacka
Łyczków;
Boratyńskiego;Wacława
Golis;
Kędronia;ks. Stanisława
Przyczki;
Sanguszki;Romana
Jeżówka;
Moszczeńskich;
Zbylitowskich;
Żabów;
Kwaterunkowa;
Mozaikowa;
Powtórna;
Rafowa;
Ruchliwa;
Sarmacka;
Siarczana;
Tabelowa;
Trudna;
Zagadkowa;
Zarzewska;
Zenitowa;
Piechala;Mariana
Chachuły;
Bobslejowa;
Grodowa;
Liniowa;
Lontowa;
Lorentza;Zygmunta
Łyżwiarska;
Mocarna;
Namiotowa;
Rusałki;
Sprinterów;
Stare Złotno;
Szkutnicza;
Świąteczna;
Odważna;
Breńska;
Na Ścieżki;
Obustronna;
Przeczna Droga;
Dzierżona;Jana
Błonia;
Bobrowska;
Złota Góra;
Rudno;
Derwida;
Foluszowa;
Jeżykowa;
Nad Łąkami;
Przewalskiego;
Technologów;
Bronisin;
Brużycka;
Chylońska;
Ciągnikowa;
Ejsmonda;Juliana
Kasowa;
Keniżanki;Władysławy
Komfortowa;
Konspiracji;
Kwiecista;
Magnesowa;
Michała;
Młynek;
Mocna;
Mulinowicza;
Potulna;
Równikowa;
Rtęciowa;
Sternfelda;Ary
Szkoły Orląt;
Teodorowicza;Józefa
Stocka;
Ujazd;
Warneńczyka;
Zamulna;
Zbaraska;
Zwrotnikowa;
Życzliwa;
Oazowa;
Małego Rycerza;
Pasjansowa;
Dzieci Łodzi;
Kirasjerów;
Kurka;Wincentego
Lublinek;
Michałowicza;Jerzego
Mundurowa;
Pisankowa;
Sardyńska;
Srebrzyńska;
Szwadronowa;
Tomaszewicza;Wincentego
Wołowa;
Zagrodniki;
Ćwiczeń;
Rogalińskiego;ks. Józefa
Kopcińskiego;dr. Stefana
Styrska;
Rynkowskiej;Anny
Augustów;
Boconek;
Złotych Kłosów;
Mieszkowskiego;ks. Bronisława
Świętej Trójcy;
Stary Dębowiec;
Grzechyńska;
Góreckiego;Władysława
Podkarpacka;
Na Młyny;
Warzały;
Chramcówki;
Do Samków;
Galicy;gen. Andrzeja
Kuźnice;
Pod Lipkami;
Załuskich;
Ulimska;
Trasa Zgody;
Artemidy;
Chochlika;
Fajansowa;
Infelda;Leopolda
Waniliowa;
Wdzięczna;
Wigerska;
Zakliczyńska;
Zespołowa;
Dzikich Pól;
Miniaturowa;
Azotowa;
Babickiego;Józefa
Bojerowa;
Cieplarniana;
Jagodnica;
Mania;
Mendelejewa;Dymitra
Pilotów;
Pontonowa;
Smulska;
Zyndrama;Mikołaja
Żaglowa;
Schillera;Leona
Antoniewska;
Chałasińskiego;Józefa
Dobrej Wróżki;
Dyspozytorska;
Giewont;
Idzikowskiej;Krystyny
Kraterowa;
Kronikarska;
Mileszki;
Nery;
Ozorkowska;
Prymulkowa;
Przełęcz;
Estkowskiego;Ewarysta
Knaka;Stanisława
Lipiańska;
Moraczewskiego;Jędrzeja
Paradyska;
Pontonierów;
Raczyńskich;
Szlichtynga;Jonasza
Szczecińskie;
Poznańskie;
Aresa;
Bolka i Lolka;
Gryfa;
Horsztyńskiego;
Przewozowa;
Sielanki;
Turza;
Viewegera;Teodora
Wierchowa;
Winiarska;
Dziubana;Franciszka
Szydłowa;
Wirtla;
Prostopadła;
Skotnik;
Brzozówki;
Działkowiczów;
Pasierba;ks. Janusza
Partyń;
Kamockiego;Stanisława
Rumakowa;
Urszuli;
Zielony Las;
Kucykowa;
Zarugiewicza;Grzegorza
Dąbki;
Janusza;Księcia
Nad Skawą;
Starowiślna;
Hrabiana Góra;
Cieszki;
Przychockiego;
Tuchowska;
Stasika;Tadeusza
Falińskiej;Irmy
Na Wał;
Urwana;
Kobiela;
650-lecia;
Browarki;
Łukówka;
Pawęzowska;
Kościeliska;
Krupówki;
Pocztowców;
Galicówka;
Gładkie;
Janosówka;
Kotelnica;
Bafijówka;
Rynias;
Wierch Spiski;
Piekorzówka;
Gały;
Gronkowska;
Sczanieckiej;Emilii
Siedlicka;
Sierakowska;
Sulęcińska;
Santockie;
Chorągwiana;
Czubińskiego;Zygmunta
Filona;
Glinianki;
Hery;
Jędrzychowska;
Łężycka;
Szczekocińska;
Winny;
Piotrusia Pana;
Cynarskiego;Stanisława
Funka;Kazimierza
Demeter;
Bordowa;
Bandurskiego;Albina
Antracytowa;
Bawełniana;
Budryka;Witolda
Musiała;prof. Włodzimierza
Niższa;
Nurkowa;
Okręgowa;
Ordonówny;Hanki
Osobliwa;
Płynna;
Powszechna;
Przejściowa;
Pustynna;
Reduta;
Regera;Tadeusza
Rogozińskiego;Stefana
Sternicza;
Świetna;
Wiośniana;
Wrzecionowa;
Wyższa;
Zagraniczna;
Saharyjska;
Rudzianka;
Denna;
Huta Jagodnica;
Lajkonika;
Lokajskiego;Eugeniusza
Markietanki;
Muszkieterów;
Snopowa;
Wielkanocna;
Zasieczna;
Zwiadowcza;
Waleczna;
Konstytucyjna;
Bolesławów;
Chromowa;
Gazdy;
Haśka;Jarosława
Margaretek;
Niewiarowskiej;Krystyny
Opolczyka;Księcia Władysława
Ozdobna;
Parowozowa;
Rysy;
Selekcyjna;
Wydawnicza;
Koplowicza;Abrama
Podolski;
Snowalniana;
Wojewódzkiego;Wacława
Jezioro;
Witaminka;
Malwy;
Jazowa;
Biały Krzyż;
Sumerówka;
Wildera;Billy
Masiuk;Janiny
Łuczkiewiczów;
Wyrwy;ks. Jakuba
Ablewicza;abp. Jerzego
Ekumeniczna;
Rzemieślników;
Słona Woda;
Trapezowa;
Za Gumnem;
Gralewskiego;Wacława
Czartoryskiej;Izabeli
Uhorczaka;Franciszka
Staczyńskiego;Konrada
Pielgrzymia;
Bojarczuka;Michała
Podgroble;
Powiatowa;
Lotniskowa;
Orła Bielika;
Mydlana;
Ostrzeszowska;
Palisadowa;
Siatkarzy;
Słowacka;
Swojczycka;
Szewczenki;Tarasa
Wołgogradzka;
Zagrodnicza;
Żużlowców;
Szniolisa;Aleksandra
Miłostowska;
Falzmanna;Michała Tadeusza
Most Sądowy;
Nożownicza;
Sobocka;
Uchańska;
Kanoniczna;
Rzeźna;
Ciesielskiego;ks. Kanonika Bronisława
Ignacowska;
Ekologiczna;
Paliwowa;
Lucerniana;
Ogrodników;
Podłogowa;
Progowa;
Zygmunta Wazy;
Podolińska;
Jutroszewska;
Polska Wola;
Żeromińska;
Parczowska;
Natolińska;
Keller;Emmy
Begoniowa;
Barcińska;
Huby;
Parterowa;
600-lecia;
Krzyckich;
Majdanowa;
Babia Wieś;
Betoniarzy;
Błądzimska;
Boleniowa;
Boruckiego;Kazimierza
Borzenkowska;
Cechowa;
Cytrusowa;
Czyste Pola;
Dźwigowa;
Generalska;
Huzarska;
Indycza;
Janikowska;
Jarząbkowa;
Karowskiego;Piotra
Kawiorowa;
Kiedrowskiego;Franciszka
Kliniczna;
Komandosów;
Kórnicka;
Krogulcza;
Lansjerów;
Magdzińskiego;Teofila
Ryglicka;
Osiedla;
Niedomicka;
Wnęka;Jana
Zająca;Mariana
Mrowce;
Bilinówka;
Piszczory;
Sobczakówka;
Ubocz;
Wojdyły;
Zwijacze;
Grapa;
Kucówka;
Kobylarzówka;
Karpielówka;
Kiry;
Mocarni Boczna;
Staszelówka;
Sądelska;
Wolfa;Tadeusza
Nawieśnicka;
Majoracka;
Fiałka;Walentego
Gorczyckiego;Grzegorza
Łożyńskiego;
Byczak;
Dąbrowskich;
Batkowska;
Czaplickiego;Leona
Kruśliwiecka;
Mikorzyńska;
Niemojewskich;
Stare Miasto;
Wachowiaka;Stanisława
Papuszy;
Czamana;Henryka
Sobeckiego;Izydora
Ranusa;Sylwestra
Kołomurna;
Libiszewska;
Ignacew;
Mirosławice;
Niesięcin;
Rszewska;
Gryzla;Narcyza
Zaradzyńska;
Małej Łąki;
Pitoniówka;
Salamandra;
Biała Droga;
Biłki;Henryka
Zaporowa;
Zbrojna;
Zdrowie;
Walickiego;Franciszka
Cypryjska;
Dębowskiego;Jana
Elana;
Korsykańska;
Maciejewskiego;Władysława
Oskardowa;
Stokowska;
Taternicza;
Teodora;
Transmisyjna;
Zaspowa;
Ziarnista;
Hyrna;
Tansmana;Aleksandra
Wendy;Tadeusza Apolinarego
Zajezierna;
Przyjezierna;
Jankowska;
Leszczyńskiego;
Przekop;
Skaszewska;
Szosa Toruńska;
Zabłotna;
Kątek;
Aleja Marzeń;
4;
6;
8;
13;
33;
35;
42;
15;
Getta;
Mały Skręt;
Augustiańska;
Barycz;
Gaszyńska;
Wawrzyńca;św.
Podlasie;
Szlęzaka;ks. Antoniego
Bogdańskiego;
Do Tadziaków;
Kasprusie;
Pod Skocznią;
Bogówka;
Gawlaki;
Klusie;
Rybkówka;
Zoniówka;
Kaniówka;
Włosienica;
Karpęciny;
Gile;
Sądel;
Pawliki;
Gronik;
Mocarni;
Błociska;
Kośne Hamry;
Polana;
Biadasowska;
Repatriantów;
Kleszcz;
Las Wolborski;
Pawłowska;
Rejsowa;
Rwańska;
Śrutowy Dołek;
Zalesicka;
Zawilców;
Dąbie;
Domarasiewicza;Stanisława
Drążkiewicza;Janusza
Feliksów;
Kusiaka;Władysława
Magnacka;
Groszkowskiego;Janusza
Maja 1960 r.;30
Siwa;
Maćkowiaka;Henryka
Kopeckiego;Kazimierza
Austriacka;
Coulet;Maurice
Leśne;
Wacławów;
Sierosławska;
Janke;"gen. Zygmunta ""Waltera"""
Rypułtowicka;
Kapkazy;
Hillar;M.
22;
24;
Tymienicka;
Swoboda;
Bacowa;
Bartoka;Beli
Czechosłowacka;
Domowa;
Emaliowa;
Lewarowa;
Ostróżek;
Prezydenta;
Służbowa;
Spartakusa;
Szałasowa;
Taborowa;
Trzykrotki;
Turnie;
Wernyhory;
Widzewski;
Żlebowa;
Witka;dr. Stanisława
Krzeptówki;
Na Wilcznik;
Regle;
Za Strugiem;
Zaryckiego;Szymona
Chłabówka;
Ciągłówka;
Łosiówki;
Antałówka;
Oberconiówka;
Walowa Góra;
Wierch Buńdowy;
Muchówka;
Chotarz Bór;
Groń;
Rysulówka;
Budzowa;
Wielhorskiego;
Trzciniec;
Lesisko;
Ścieżkowa;
Ewarystów;
Trojanowskiego;
Gawrońska;
Piątkowska;
Smrekowa;
Szymony;
Balzera;Oswalda
Cyrhla;
Króle;
Spadowiec;
Ustup;
Wyskówki;
Budzów Wierch;
Stasiki;
Butorów;
Brzyzek;
Majerczykówka;
Zagórnicka;
Kamieńcowa;
Skornicka;
Lanckorońska;
Posażnikowa;
Wzory;
Gotowizna;
Małaszewo;
Na Borowiec;
Karczówki;
Dziegieciów;
Michałów;
Grabińskiego;Mariana
Proszeńska;
Kobusiewicza;prof. dr. Tadeusza
Prusinowska;
Plac 900-lecia;
Bugaj;
Szynkielewska;
Tatarkowa;
Ziemna;
9;
12;
39;
40;
26;
27;
Olewińska;
Bełzatka;
Pawlikowskiego;Józefa
Świerczów;
Trzcińskiej;Heleny
Budzanowskich;Marii i Teofila
Balcerowska;
Halinów;
Leśnej Polanki;
Okurzałego;Michała
Paczkowskiego;Józefa
Bacy;mjr.
Bojarowska;
Plac Rynek;
Piechowska;
Marianów;
Juliusza;
Marzenińska;
Paprocka;
Żytowicka;
Kosobudzka;
10;
11;
37;
38;
25;
Zakrzewki;
Juhasa;
Tytanowa;
Wieruszowska;
Mikorska;
Słonimskiego;Antoniego
Kiszmanowicza;L.
Rokitniańska;
Szarzecka;
Metalowca;
Współczesna;
Letnie;
Kolonia Górska;
Karasicka;
Adamówek;
Bazylijska;
Hordliczki;Ignacego
Pogonowskiego;Stefana
Franin;
Szatonia;
Węgierskiego;Ludwika
Osieckiej;Agnieszki
Sautera;Wiesława
Firmowa;
Walichnowska;
Dybowskiego;Janusza Teodora
Nerska;
Przatowska;
Krucica;
Strażacki;
Rynkowskiego;Henryka
Czyżewicza;Michała
Galasa;Piotra
Langera;Antoniego
Bąka;Szczepana
Żelazny;
Wilamowska;
Przyłąkowa;
Skrętna;
Orzelskiej;Justyny
Mikowa;
Jaszkowskiego;Teofila
Łotockiego;por. Zygmunta
Podbratek;
Przyszła;
Trybusa;Adama
Miedniewicka;
Twarowskiej;Janiny
Dębnik;
Gadowskiego;ks. Walentego
Gazaris;
Podgórca;Włodzimierza
Smyków;
Za Szybem;
Piotrowicza;Ludwika
Łopianka;
Osiki;płk. Stefana
Czarnowiejska;
Kopaliny;
Dylągówka;
Gębicka;
Retkińska;
Slalomowa;
Upominkowa;
Wykowa;
Króla;Władysława
Zboczowa;
Armii Łódź;
Józewskiego;Henryka Jana
Bodo;Eugeniusza
Dorabialskiej;Alicji
Dunajec;
Gogola;Mikołaja
Goryczkowa;
Harnasia;
Koniakowska;
Krzeptowskiego;Józefa
Księży Młyn;
Neonowa;
Staniczka;
Żymierskiego;
Karsznicka;
Opiesińska;
Rajczaka;Feliksa
Starkowska;
Christiansena;Pastora Christiana
Niegosławska;
Złotnickiego;Stefana
Grabowiny;
Moczydła;
Cebertowicza;prof. Romualda Adama
Jedlicka;
Lecznica;
Pieczyraka;Stanisława
Samozwaniec;Magdaleny
Stępowizna;
Urwista;
Zamurowa;
Radziwiłłówny;Barbary
Maciusia;Króla
Haller;Anny
Ratuszowy;
Faustyny;Siostry
Niwa;
Odlewnika;
Brzozowe;
Ośniańska;
Pomologiczna;
Strobowska;
Fischera;prof. Stanisława
Goslara;Juliana
Grodeckiego;Romana
Lipie;
Ptaśnika;Jana
Stasiaka;Ludwika
Turka;
Wolnica;
Zalesie Dolne;
Pacynkowa;
Pomidorowa;
Raciborskiego;Mariana
Sędziwoja;
Smetany;Bedricha
Szafrańska;
Wieńcowa;
Zapadła;
Gubałówka;
Dyniowa;
Eryka;
Geodezyjna;
Kostromska;
Las Bujnowski;
Świtalskiego;płk. Adama
Wierzejska;
Gałeckiego;
Mszczonowska;
Morasiewicza;dr. Władysława
Gołaszyn;
Stańska;
Noworudna;
Dorotki;
Okołowicza;Konstantego
Budki;
Czynszowa;
Guderskiego;Konrada
Karolinowska;
Kobyłeckiego;Mieczysława
Mycków;Braci
Demczyka;Tadeusza Juliusza
Na Piaski;
Sierakowicka;
Stęborowskiego;Michała
Czerwieniec;
Czumy;gen. Waleriana
Dołuszycka;
Floris;
Krzęczków;
Na Buczków;
Przysieki;
Solna Góra;
Sutoris;
Wiśnicka;
Serwina;Bogusława
Trinitatis;
Kingi;św.
Brzękowskiego;Jana
Pod Sadem;
Maszkienicka;
Pielgrzymkowa;
Januszowska;
Liska;Czesława
Chodenicka;
Goczałkowskich;Julii i Wojciecha
Karolina;
Kolanowska;
Krzeczowska;
Na Kąty;
Samlickiego;Marcina
Windakiewicza;Edwarda
Bielawskiej;Marii
Gąsiorka;Stanisława
Serafińskich;
Niwickiego;Romana
Żydowska;
Przybyszówka;
Wenecja;
Stanisławska;
Pielgrzymów;
Kozieniec;
Bulandy;ks. Stanisława
Kulawki;
Patelskiego;Józefa
Czarny Las;
Czarnogórska;
Nowomłyńska;
Aleja Piastów;
Kwaczalska;
Melafirowa;
Włosieńska;
Jabłonka;
Chechlana;
Pasternikowa;
Kadłubek;
Połanieckich;
Uradzka;
Nadtorowa;
Zastawek;
Mierzejewskich;
Puszcza Solska;
Rożnówka Stawy;
Gesinga;Romana
Armii Kraków;
Słąki;Floriana
Węglarza;
Majdańska;
Wełnianka;
Zabuże;
Obłonie;
Trzcińce;
Suszyce;
Lemierzycka;
Żubrów;
Bramkowa;
Łęgowski;
Zastawie;
Krawczyka;kmdr.
Teresówka;
Mirecka;
Osada Rybacka;
Hanki;
Okocimska;
Za Lasem;
Zagrodzka;
Granice;
Trawniki;
Kulówka;
Machulec;
Evron;
Mogielnickiego;Dionizego
Łącząca;
Mościska;
Pastrug;
Skansenowa;
Żabnik;
Bereska;
Kasztanki;
Pęcherska Góra;
Podbory;
Pięciu Stawów;
Domańskiej;Antoniny
Konińskiego;Ludwika
Trzecia Góra;
A7;
E1;
C5;
C12;
C23;
Przy Forcie;
C26;
E4;
Gliniki;
Polowa;
Piska;
Choszczańska;
Santocka;
Dudka;Mirosława
Myszala;
A4;
A6;
C1;
C3;
C16;
C18;
A16;
B5;
Kowali;
Zapomniana;
Rezerwistów;
Na Błonie;
Cesarska;
A11;
B1;
C8;
C9;
Pod Topolami;
Baranówny;Wiktorii
Na Popielówkę;
Gębika;Władysława
Łososińska;
Moczarki;
Mroza;Ludwika
Tolińskiego;Juliana
Opacz;
Skrzynecka;
Sucha Góra;
Ptasznica;
Krynickiego;Nikifora
Zefirka;
Radowska;
Mierzęcińska;
Nowa Brama;
Działki;
Łaskiego;Jana
Melsztyńskich;
Morawca;
Kolonia Poręby;
Za Groblą;
Zagroda;
Hale;
Łomnickie;
Banie;
Błankowa;
Dębca;
Estery;
